24-0000010308,02-0000087079,180,20000101,20000101,203867.8711,563343.208,,,1,2,1,4583314,1,,24-010308,15036,1,1
24-0000012524,02-0000081308,0,,,207048.175,553518.0312,,,1,2,1,5343753,1,,24-012524,17252,1,1
24-0000009158,02-0000061127,180,20130628,20130410,186980.0125,546841.2187,대한신호,,6,2,1,1240617,1,2013-0101-055,24-009158,13886,1,2
24-0000009191,02-0000136730,180,20130830,20000101,188660.4958,544370.1824,대한신호,,6,2,1,1175922,1,2013-0101-067,24-009191,13919,1,1
24-0000009173,02-0000067388,180,20130816,20130816,186494.05,547932.1937,한길HC,,6,2,1,1232639,1,2013-0111-009,24-009173,13901,1,1
24-0000009363,02-0000131331,180,20000101,20000101,203768.8875,540693.0562,,,1,2,1,4087184,1,,24-009363,14091,1,1
24-0000019872,02-0000220974,,,,185354.022,551599.0717,,,1,2,1,1219362,1,,24-019872,24600,,1
24-0000009445,02-0000156932,180,20000101,20000101,195058.1742,546032.7188,,,1,2,1,3108758,1,,24-009445,14173,1,1
24-0000001242,02-0000061183,180,20081124,20160315,197403.9963,549095.4043,,,1,2,1,,1,2016-0101-052,24-001242,5221,1,2
24-0000001490,02-0000007244,180,20161125,20220915,192922.3,554263.8437,㈜대한신호,,1,2,1,2365403,1,2022-9901-001,24-001490,767,1,2
24-0000009851,02-0000178500,180,20131225,20131225,203112.7125,556909.3062,대한신호(주),,6,2,1,4460838,1,2013-0401-008,24-009851,14579,1,4
24-0000009796,02-0000118897,180,20131207,20131207,207771.5052,557685.4465,(주)한길에이치씨,,1,2,1,5461184,1,2013-1801-007,24-009796,14524,1,1
24-0000009510,02-0000101634,180,20000101,20000101,188506.9339,546594.9332,,,1,2,1,1179669,1,,24-009510,14238,1,1
24-0000000941,02-0000106365,180,20070601,20070601,201416.9024,542858.1916,,,4,1,1,,1,2012-0101-036,24-000941,8869,1,2
24-0000007468,02-0000169683,180,20120107,20220915,192696.1526,554489.4268,㈜대한신호,0,1,2,1,2365043,1,2022-9901-001,24-007468,13028,1,2
24-0000009529,02-0000067399,180,20000101,20000101,183845.568,552960.4075,,,1,2,1,382345,1,,24-009529,14257,1,1
24-0000009404,02-0000177290,180,20131115,20220915,192410.4994,554753.1397,㈜대한신호,,1,2,1,23564010,1,2022-9901-001,24-009404,14132,1,2
24-0000005977,02-0000042356,90,10101,10101,205006.3199,545302.3857,0,,2,1,1,,1,2000-0000-000,24-005977,4089,1,
24-0000005921,02-0000105552,180,20200901,20221214,198501.5884,552864.4341,한길에이치씨,0,1,2,1,3372626,1,2022-0201-119,24-005921,8765,1,4
24-0000019924,02-0000066844,,20220831,20220831,201725.5153,551803.2565,휴먼테크,,1,2,1,4340011,1,2022-9901-002,24-019924,24652,,1
24-0000009542,02-0000177478,180,20000101,20000101,186806.6164,551988.011,,,1,1,1,1340242,1,,24-009542,14270,1,3
24-0000019926,02-0000113601,,20220831,20220831,201753.8903,551783.944,휴먼테크,,1,2,1,4340102,1,2022-9901-002,24-019926,24654,,1
24-0000000903,02-0000041630,180,20061115,20170731,208545.1,545611.4562,(주)대한신호,,1,2,1,5177773,1,2000-0000-000,24-000903,4038,1,2
24-0000009973,02-0000014064,180,20130716,20130716,190574.1125,552029.575,대한신호(주),,6,2,1,2310753,1,2013-0101-099,24-009973,14701,1,1
24-0000016563,02-0000001166,,20191210,20191210,200247.1625,551505.5062,,,1,2,1,4219157,1,2019-0101-055,24-016563,21291,,1
24-0000002985,02-0000067415,180,20070601,20070601,183790.9273,552640.3006,,,6,1,1,,1,2013-1801-003,24-002985,5668,1,3
24-0000019925,02-0000124077,,20220831,20220831,201734.3278,551783.319,휴먼테크,,1,2,1,4340101,1,2022-9901-002,24-019925,24653,,1
24-0000009986,02-0000178637,180,20000101,20131226,192582.2121,551190.0781,,,1,2,1,2258884,1,2012-0401-001,24-009986,14714,1,4
24-0000002870,02-0000064511,180,20070601,20131105,190912.0875,547556.2937,한길HC,,6,2,1,2221463,1,2013-0101-140,24-002870,5469,1,2
24-0000002169,02-0000131557,90,20191021,20191021,197731.6366,542658.6268,대한신호㈜,0,3,2,1,31611810,1,2019-0201-037,24-002169,1763,1,1
24-0000016561,02-0000103945,,20191210,20191210,200248.625,551541.9937,,,1,2,1,4219155,1,2019-0101-055,24-016561,21289,,1
24-0000005918,02-0000160351,180,20220927,20220927,202590.4375,553677.1687,태경엔지니어링,0,1,2,1,4353886,1,2022-0101-033,24-005918,12021,1,1
24-0000010273,02-0000160699,180,20000101,20000101,202167.9809,560921.3137,,,1,2,1,4448931,1,,24-010273,15001,1,
24-0000010293,02-0000097050,180,20140527,20140527,192464.6394,542254.519,,,1,2,1,2150591,1,,24-010293,15021,1,6
24-0000010954,02-0000038129,0,20140212,20140212,203019.9,546887.5937,(주)한길HC,,6,2,1,42606210,1,2014-0101-114,24-010954,15682,1,1
24-0000001102,02-0000041366,180,20070601,20070601,206088.4492,543336.2853,,,6,1,1,,1,2014-0101-114,24-001102,4011,1,3
24-0000009419,02-0000177317,180,20131122,20131122,184923.0849,545857.724,대한신호,,6,2,1,1108422,1,2013-0111-012,24-009419,14147,1,1
24-0000009621,02-0000177885,180,20131220,20140212,205799.9003,545092.6569,,,6,1,1,5126261,1,2014-0101-114,24-009621,14349,1,3
24-0000011003,02-0000177797,0,20000101,20140507,205163.5125,541860.8687,(주)한길HC,,6,2,1,5100926,1,2014-0101-103,24-011003,15731,1,2
24-0000010998,02-0000037679,0,20000101,20140514,205444.85,542522.5187,(주)한길HC,,1,2,1,5111557,1,2014-0101-103,24-010998,15726,1,2
24-0000005977,02-0000042356,0,10101,10101,205006.3199,545302.3857,,0,4,1,1,,1,2000-0000-000,24-005977,4091,1,
24-0000019923,02-0000066843,,20220831,20220831,201754.2653,551801.7565,휴먼테크,,1,2,1,4340111,1,2022-9901-002,24-019923,24651,,1
24-0000010247,02-0000150721,180,20000101,20000101,185899.5375,543579.1312,,,1,2,1,1123467,1,,24-010247,14975,1,1
24-0000010979,02-0000037745,0,20000101,20140417,201881.6745,547107.8849,(주)한길HC,,6,2,1,4240474,1,2014-0101-103,24-010979,15707,1,2
24-0000004027,02-0000007375,180,20071105,20130603,195470.8476,549275.0836,,,1,2,1,3215502,1,2013-0111-003,24-004027,784,1,2
24-0000000670,02-0000106188,180,20030101,20030101,212241.6658,544882.8445, ,0,1,2,1, ,1,2000-0000-000,24-000670,8840,1, 
24-0000000670,02-0000106188,180,2003년 1차,2003년 1차,212241.6658,544882.8445, , ,4,1,1, ,1,2000-0000-000,24-000670,8841,1, 
24-0000013682,02-0000215917,180,,,198769.1625,553015.6312,,,1,2,1,33821510,1,,24-013682,18410,1,1
24-0000010256,02-0000021689,180,20140526,20140526,192040.25,542383.5312,,,1,2,1,2141722,1,,24-010256,14984,1,1
24-0000009346,02-0000157134,180,20000101,20000101,201043.5588,545420.7404,,,1,2,1,4127732,,,24-009346,14074,1,
24-0000009349,02-0000018085,180,20000101,20000101,201013.5358,545424.6022,,,1,2,1,4127634,1,,24-009349,14077,1,1
24-0000009413,02-0000177306,180,20131115,20131115,191198.8049,550776.9715,한길HC,,6,2,1,2238008,1,2013-0101-023,24-009413,14141,1,2
24-0000017415,02-0000016940,,20200113,20221021,183454.4416,552017.1362,대한신호,,1,2,1,3705510,1,2022-0101-006,24-017415,22143,,4
24-0000017413,02-0000016941,,20200113,20221021,183465.1291,552021.98,대한신호,,1,2,1,3705510,1,2022-0101-006,24-017413,22141,,4
24-0000017414,02-0000016941,,20200113,20221021,183463.368,552015.9098,대한신호,,1,2,1,3705510,1,2022-0101-006,24-017414,22142,,4
24-0000020056,02-0000137535,,20221209,20221209,,,대한신호,,1,2,1,5441504,1,2022-0101-110,24-020056,24784,,1
24-0000020055,02-0000157495,,20221209,20221209,,,대한신호,,1,2,1,5440693,1,2022-0101-110,24-020055,24783,,1
